Failure : 6, Danger : 2, Collison : 8, Success : 223, Average Reward : -3499.4978902953585, Number of steps : 3080
Failure : 14, Danger : 21, Collison : 5, Success : 131, Average Reward : -3547.7466666666664, Number of steps : 3093
Failure : 3, Danger : 8, Collison : 6, Success : 210, Average Reward : -2875.8721461187215, Number of steps : 3093
Failure : 10, Danger : 26, Collison : 7, Success : 145, Average Reward : -4517.938271604939, Number of steps : 3104
Failure : 12, Danger : 31, Collison : 5, Success : 119, Average Reward : -3915.794117647059, Number of steps : 3095
Failure : 11, Danger : 5, Collison : 5, Success : 202, Average Reward : -2431.380733944954, Number of steps : 3074
Failure : 16, Danger : 60, Collison : 5, Success : 77, Average Reward : -5444.091836734694, Number of steps : 3039
Failure : 9, Danger : 18, Collison : 7, Success : 187, Average Reward : -3599.1871921182264, Number of steps : 3086
Failure : 12, Danger : 19, Collison : 9, Success : 191, Average Reward : -4390.9669811320755, Number of steps : 3106
Failure : 9, Danger : 24, Collison : 7, Success : 153, Average Reward : -4328.508875739645, Number of steps : 3091
Failure : 9, Danger : 13, Collison : 3, Success : 169, Average Reward : -1828.5801104972375, Number of steps : 3087
Failure : 11, Danger : 44, Collison : 8, Success : 134, Average Reward : -5432.738562091503, Number of steps : 2986
Failure : 13, Danger : 45, Collison : 10, Success : 124, Average Reward : -7024.0, Number of steps : 3080
Failure : 10, Danger : 13, Collison : 6, Success : 181, Average Reward : -3201.8274111675128, Number of steps : 3090
Failure : 4, Danger : 17, Collison : 6, Success : 90, Average Reward : -6329.42, Number of steps : 3129
Failure : 13, Danger : 21, Collison : 9, Success : 139, Average Reward : -5788.130434782609, Number of steps : 3091
Failure : 13, Danger : 7, Collison : 12, Success : 202, Average Reward : -5418.566271961343, Number of steps : 3068
Failure : 12, Danger : 31, Collison : 9, Success : 77, Average Reward : -9498.530612244898, Number of steps : 2865
Failure : 10, Danger : 16, Collison : 7, Success : 159, Average Reward : -4154.747573706423, Number of steps : 3087
Failure : 11, Danger : 14, Collison : 7, Success : 148, Average Reward : -4406.6516210615055, Number of steps : 3090
Failure : 9, Danger : 2, Collison : 4, Success : 166, Average Reward : -2407.469273743017, Number of steps : 3098
Failure : 13, Danger : 21, Collison : 4, Success : 86, Average Reward : -4197.286260011831, Number of steps : 3023
Failure : 13, Danger : 2, Collison : 7, Success : 107, Average Reward : -5767.608814629052, Number of steps : 3115
Failure : 19, Danger : 5, Collison : 6, Success : 93, Average Reward : -5364.635593220339, Number of steps : 3110
Failure : 14, Danger : 13, Collison : 7, Success : 105, Average Reward : -5820.484126984127, Number of steps : 3170
Failure : 11, Danger : 5, Collison : 8, Success : 128, Average Reward : -5659.159891051776, Number of steps : 3104
Failure : 18, Danger : 29, Collison : 4, Success : 87, Average Reward : -3979.7247706422017, Number of steps : 3128
Failure : 19, Danger : 18, Collison : 1, Success : 95, Average Reward : -1162.913943881755, Number of steps : 3150
Failure : 9, Danger : 23, Collison : 5, Success : 76, Average Reward : -5864.111111111111, Number of steps : 2603
